MTU,Prices [EUR / MWh]
2023-03-24 00:00:00+01:00,55.58
2023-03-24 01:00:00+01:00,44.62
2023-03-24 02:00:00+01:00,41.61
2023-03-24 03:00:00+01:00,40.9
2023-03-24 04:00:00+01:00,36.36
2023-03-24 05:00:00+01:00,41.41
2023-03-24 06:00:00+01:00,63.79
2023-03-24 07:00:00+01:00,82.32
2023-03-24 08:00:00+01:00,81.84
2023-03-24 09:00:00+01:00,62.81
2023-03-24 10:00:00+01:00,44.8
2023-03-24 11:00:00+01:00,32.26
2023-03-24 12:00:00+01:00,29.28
2023-03-24 13:00:00+01:00,20.54
2023-03-24 14:00:00+01:00,12.26
2023-03-24 15:00:00+01:00,7.48
2023-03-24 16:00:00+01:00,29.59
2023-03-24 17:00:00+01:00,79.43
2023-03-24 18:00:00+01:00,100.8
2023-03-24 19:00:00+01:00,116.23
2023-03-24 20:00:00+01:00,97.0
2023-03-24 21:00:00+01:00,82.52
2023-03-24 22:00:00+01:00,76.2
2023-03-24 23:00:00+01:00,64.9
2023-03-25 00:00:00+01:00,15.3
2023-03-25 01:00:00+01:00,-7.29
2023-03-25 02:00:00+01:00,-6.0
2023-03-25 03:00:00+01:00,-0.45
2023-03-25 04:00:00+01:00,-2.34
2023-03-25 05:00:00+01:00,-3.8
2023-03-25 06:00:00+01:00,-7.05
2023-03-25 07:00:00+01:00,-12.17
2023-03-25 08:00:00+01:00,-10.0
2023-03-25 09:00:00+01:00,4.82
2023-03-25 10:00:00+01:00,-7.99
2023-03-25 11:00:00+01:00,-1.32
2023-03-25 12:00:00+01:00,-2.32
2023-03-25 13:00:00+01:00,-12.83
2023-03-25 14:00:00+01:00,-11.59
2023-03-25 15:00:00+01:00,-0.72
2023-03-25 16:00:00+01:00,0.14
2023-03-25 17:00:00+01:00,28.23
2023-03-25 18:00:00+01:00,65.99
2023-03-25 19:00:00+01:00,88.17
2023-03-25 20:00:00+01:00,88.45
2023-03-25 21:00:00+01:00,87.3
2023-03-25 22:00:00+01:00,84.94
2023-03-25 23:00:00+01:00,89.89
2023-03-26 00:00:00+01:00,84.07
2023-03-26 01:00:00+01:00,65.75
2023-03-26 03:00:00+02:00,69.21
2023-03-26 04:00:00+02:00,62.28
2023-03-26 05:00:00+02:00,62.9
2023-03-26 06:00:00+02:00,63.49
2023-03-26 07:00:00+02:00,73.09
2023-03-26 08:00:00+02:00,82.1
2023-03-26 09:00:00+02:00,81.58
2023-03-26 10:00:00+02:00,83.06
2023-03-26 11:00:00+02:00,90.0
2023-03-26 12:00:00+02:00,89.85
2023-03-26 13:00:00+02:00,70.39
2023-03-26 14:00:00+02:00,50.62
2023-03-26 15:00:00+02:00,45.74
2023-03-26 16:00:00+02:00,48.35
2023-03-26 17:00:00+02:00,77.09
2023-03-26 18:00:00+02:00,106.65
2023-03-26 19:00:00+02:00,117.86
2023-03-26 20:00:00+02:00,112.59
2023-03-26 21:00:00+02:00,104.63
2023-03-26 22:00:00+02:00,99.42
2023-03-26 23:00:00+02:00,94.64
2023-03-27 00:00:00+02:00,96.0
2023-03-27 01:00:00+02:00,94.97
2023-03-27 02:00:00+02:00,87.48
2023-03-27 03:00:00+02:00,83.99
2023-03-27 04:00:00+02:00,84.9
2023-03-27 05:00:00+02:00,100.68
2023-03-27 06:00:00+02:00,115.0
2023-03-27 07:00:00+02:00,142.99
2023-03-27 08:00:00+02:00,152.36
2023-03-27 09:00:00+02:00,135.11
2023-03-27 10:00:00+02:00,113.23
2023-03-27 11:00:00+02:00,110.0
2023-03-27 12:00:00+02:00,119.9
2023-03-27 13:00:00+02:00,137.07
2023-03-27 14:00:00+02:00,98.5
2023-03-27 15:00:00+02:00,107.2
2023-03-27 16:00:00+02:00,104.32
2023-03-27 17:00:00+02:00,113.25
2023-03-27 18:00:00+02:00,150.38
2023-03-27 19:00:00+02:00,193.5
2023-03-27 20:00:00+02:00,202.95
2023-03-27 21:00:00+02:00,186.53
2023-03-27 22:00:00+02:00,131.91
2023-03-27 23:00:00+02:00,114.68
2023-03-28 00:00:00+02:00,175.0
2023-03-28 01:00:00+02:00,150.29
2023-03-28 02:00:00+02:00,120.0
2023-03-28 03:00:00+02:00,103.97
2023-03-28 04:00:00+02:00,100.4
2023-03-28 05:00:00+02:00,108.3
2023-03-28 06:00:00+02:00,130.04
2023-03-28 07:00:00+02:00,160.06
2023-03-28 08:00:00+02:00,168.13
2023-03-28 09:00:00+02:00,135.81
2023-03-28 10:00:00+02:00,131.08
2023-03-28 11:00:00+02:00,117.39
2023-03-28 12:00:00+02:00,104.17
2023-03-28 13:00:00+02:00,99.99
2023-03-28 14:00:00+02:00,93.26
2023-03-28 15:00:00+02:00,94.34
2023-03-28 16:00:00+02:00,96.22
2023-03-28 17:00:00+02:00,108.59
2023-03-28 18:00:00+02:00,136.87
2023-03-28 19:00:00+02:00,160.98
2023-03-28 20:00:00+02:00,159.34
2023-03-28 21:00:00+02:00,133.02
2023-03-28 22:00:00+02:00,127.49
2023-03-28 23:00:00+02:00,110.63
2023-03-29 00:00:00+02:00,98.0
2023-03-29 01:00:00+02:00,95.28
2023-03-29 02:00:00+02:00,99.99
2023-03-29 03:00:00+02:00,100.0
2023-03-29 04:00:00+02:00,98.47
2023-03-29 05:00:00+02:00,99.2
2023-03-29 06:00:00+02:00,117.04
2023-03-29 07:00:00+02:00,144.13
2023-03-29 08:00:00+02:00,152.0
2023-03-29 09:00:00+02:00,144.17
2023-03-29 10:00:00+02:00,130.04
2023-03-29 11:00:00+02:00,119.03
2023-03-29 12:00:00+02:00,110.98
2023-03-29 13:00:00+02:00,105.6
2023-03-29 14:00:00+02:00,101.55
2023-03-29 15:00:00+02:00,104.94
2023-03-29 16:00:00+02:00,105.1
2023-03-29 17:00:00+02:00,117.47
2023-03-29 18:00:00+02:00,132.85
2023-03-29 19:00:00+02:00,149.89
2023-03-29 20:00:00+02:00,132.51
2023-03-29 21:00:00+02:00,114.92
2023-03-29 22:00:00+02:00,109.9
2023-03-29 23:00:00+02:00,94.8
2023-03-30 00:00:00+02:00,89.71
