"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"23/03/2026 00:00:00 - 23/03/2026 00:15:00","BZN|BE","Without Sequence","128.14","",""
"23/03/2026 00:15:00 - 23/03/2026 00:30:00","BZN|BE","Without Sequence","117.55","",""
"23/03/2026 00:30:00 - 23/03/2026 00:45:00","BZN|BE","Without Sequence","105.30","",""
"23/03/2026 00:45:00 - 23/03/2026 01:00:00","BZN|BE","Without Sequence","99.53","",""
"23/03/2026 01:00:00 - 23/03/2026 01:15:00","BZN|BE","Without Sequence","106.71","",""
"23/03/2026 01:15:00 - 23/03/2026 01:30:00","BZN|BE","Without Sequence","108.00","",""
"23/03/2026 01:30:00 - 23/03/2026 01:45:00","BZN|BE","Without Sequence","124.84","",""
"23/03/2026 01:45:00 - 23/03/2026 02:00:00","BZN|BE","Without Sequence","119.69","",""
"23/03/2026 02:00:00 - 23/03/2026 02:15:00","BZN|BE","Without Sequence","127.18","",""
"23/03/2026 02:15:00 - 23/03/2026 02:30:00","BZN|BE","Without Sequence","113.79","",""
"23/03/2026 02:30:00 - 23/03/2026 02:45:00","BZN|BE","Without Sequence","115.79","",""
"23/03/2026 02:45:00 - 23/03/2026 03:00:00","BZN|BE","Without Sequence","108.00","",""
"23/03/2026 03:00:00 - 23/03/2026 03:15:00","BZN|BE","Without Sequence","117.17","",""
"23/03/2026 03:15:00 - 23/03/2026 03:30:00","BZN|BE","Without Sequence","109.30","",""
"23/03/2026 03:30:00 - 23/03/2026 03:45:00","BZN|BE","Without Sequence","107.74","",""
"23/03/2026 03:45:00 - 23/03/2026 04:00:00","BZN|BE","Without Sequence","107.78","",""
"23/03/2026 04:00:00 - 23/03/2026 04:15:00","BZN|BE","Without Sequence","108.27","",""
"23/03/2026 04:15:00 - 23/03/2026 04:30:00","BZN|BE","Without Sequence","109.88","",""
"23/03/2026 04:30:00 - 23/03/2026 04:45:00","BZN|BE","Without Sequence","116.87","",""
